workload,consistency_lvl,ops
workloada,one,5871
workloada,two,5105
workloada,any,5912
workloada,local_quorum,4961
workloada,all,3632
workloadb,one,6411
workloadb,two,6425
workloadb,any,6368
workloadb,local_quorum,6514
workloadb,all,5983
workloadc,one,6340
workloadc,two,6363
workloadc,any,6493
workloadc,local_quorum,6669
workloadc,all,6696
workloadd,one,6388
workloadd,two,5680
workloadd,any,6122
workloadd,local_quorum,4629
workloadd,all,3180
workloade,one,2538
workloade,two,2473
workloade,any,2586
workloade,local_quorum,2254
workloade,all,1821
workloadf,one,4105
workloadf,two,3926
workloadf,any,4476
workloadf,local_quorum,3857
workloadf,all,3340